Timestamp,Sleep(Hours),Monthly_Allowance,Stay,Gaming(Hours),CGPA,Food,Committees,Games,Stream,Gender,College
18/10/2019 12:13:57,5,0-5000,With Parents,0,3.3,Homemade meal,1,,Civil,Female,MPSTME
18/10/2019 12:37:05,6,20000-25000,With Parents,2,3.3,Canteen,0,PUBG,IT,Female,MPSTME
18/10/2019 12:39:03,7,10000-15000,With Parents,0,3.3,Ordering in,0,,EXTC,Female,MPSTME
18/10/2019 12:54:01,4,0-5000,With Parents,1,3.3,Homemade meal,2,PUBG ,CS,Male,MPSTME
18/10/2019 12:07:05,6,0-5000,PG,1,3.25,Going out,0,PUBG,Mechatronics,Male,MPSTME
18/10/2019 12:28:54,8,10000-15000,Hostel,1,3.25,Ordering in,1,Pokemon,DS,Female,MPSTME
18/10/2019 12:31:58,8,10000-15000,Flat,0,3.25,Homemade meal,2,,Chemical,Female,MPSTME
18/10/2019 12:27:06,6,5000-10000,With Parents,0,3.24,Homemade meal,0,,CS,Male,MPSTME
18/10/2019 12:39:15,6,5000-10000,Flat,0,3.23,Homemade meal,1,,DS,Female,MPSTME
18/10/2019 12:52:52,7,20000-25000,Flat,0.5,3.2,Homemade meal,3,FIFA,CS,Male,MPSTME
18/10/2019 13:11:46,3,5000-10000,With Parents,1,3.2,Ordering in,2,FIFA,CS,Male,MPSTME
18/10/2019 13:04:46,5,10000-15000,PG,0,3.2,Homemade meal,1,,Commerce ,Female,Mithibai
18/10/2019 13:30:55,5,10000-15000,Hostel,3,3.2,Ordering in,1,PUBG ,Management ,Female,Mithibai
18/10/2019 12:24:13,3,5000-10000,PG,6,3.2,Ordering in,2,"FIFA, Far Cry",EXTC,Male,MPSTME
18/10/2019 13:40:46,5,15000-20000,With Parents,1,3.19,Ordering in,0,FIFA,DS,Male,MPSTME
18/10/2019 13:27:32,6,0-5000,With Parents,0,3.18,Homemade meal,0,,MCA,Female,MPSTME
18/10/2019 12:07:29,9,0-5000,With Parents,0.5,3.12,Going out,1,Mini Militia,Mechatronics,Male,MPSTME
18/10/2019 13:07:35,8,5000-10000,With Parents,1.5,3.12,Homemade meal,2,GOT,Mechanical,Male,MPSTME
18/10/2019 12:26:58,6,0-5000,Hostel,0,3.12,Homemade meal,1,,CS,Female,MPSTME
18/10/2019 12:34:09,5,0-5000,With Parents,0,3.12,Homemade meal,0,,CS,Male,MPSTME
18/10/2019 13:11:32,7,5000-10000,With Parents,2,3.12,Homemade meal,0,CS,Mechatronics,Male,MPSTME
18/10/2019 12:22:08,6,5000-10000,Hostel,0.5,3.1,Ordering in,0,CS,EXTC,Male,MPSTME
18/10/2019 12:38:17,6,5000-10000,With Parents,0,3.1,Ordering in,0,FIFA,DS,Male,MPSTME
18/10/2019 13:14:52,6,0-5000,With Parents,0,3.07,Homemade meal,0,,DS,Male,MPSTME
18/10/2019 12:33:55,5,5000-10000,With Parents,1,3.04,Homemade meal,1,PES ,CS,Male,MPSTME
18/10/2019 12:55:30,5,0-5000,PG,0.5,3.03,Ordering in,4,PES,CS,Male,MPSTME
